state,puma_description,msa_description,state_puma,state_msa
az,Maricopa County-Mesa City (N Central) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00102,AZ-38060
az,Maricopa County-Mesa City (W) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00103,AZ-38060
az,Maricopa County-Mesa City (S Central) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00104,AZ-38060
az,Maricopa County-Gilbert Town (N) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00105,AZ-38060
az,Maricopa County-Chandler City (NE) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00106,AZ-38060
az,Maricopa County-Chandler City (S) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00107,AZ-38060
az,Maricopa County-Tempe (S)+Chandler (NW) Cities PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00108,AZ-38060
az,Maricopa County-Tempe City (N) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00109,AZ-38060
az,Maricopa County-Scottsdale City (SW)+Paradise Valley Town PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00110,AZ-38060
az,Maricopa County (NE)-Scottsdale City (SE)+Fountain Hills Town PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00111,AZ-38060
az,Maricopa County-Scottsdale (N)/Phoenix (Far NE) Cities+Cave Creek PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00112,AZ-38060
az,Phoenix City (NE) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00113,AZ-38060
az,Phoenix City (NE Central) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00114,AZ-38060
az,Phoenix City (NW Central) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00115,AZ-38060
az,Phoenix City (Uptown) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00116,AZ-38060
az,Phoenix City (E) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00117,AZ-38060
az,Phoenix City-Downtown+Sky Harbor International Airport PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00118,AZ-38060
az,Phoenix City (S) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00119,AZ-38060
az,Phoenix City-Ahwatukee+S Mountain PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00120,AZ-38060
az,Phoenix (SW)+Tolleson Cities PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00121,AZ-38060
az,Phoenix City-Maryvale (E) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00122,AZ-38060
az,Phoenix City-Maryvale (W) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00123,AZ-38060
az,Maricopa County-Glendale City (S) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00124,AZ-38060
az,Phoenix City (W) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00125,AZ-38060
az,Maricopa County-Glendale City (N) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00126,AZ-38060
az,Maricopa County-Peoria City (S+Central) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00127,AZ-38060
az,Phoenix City (N) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00128,AZ-38060
az,Phoenix (Far N)+Peoria (NW) Cities PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00129,AZ-38060
az,Maricopa County-El Mirage City+Sun City PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00130,AZ-38060
az,Maricopa County-Surprise City (Central) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00131,AZ-38060
az,Maricopa County-Goodyear/Glendale (W)+Litchfield Park (NW) Cities PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00132,AZ-38060
az,Maricopa County-Avondale (Central)+Litchfield Park (Central) Cities PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00133,AZ-38060
az,Maricopa County (W)+Gila River Indian Community (NW) PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00134,AZ-38060
az,Pima County (W) PUMA,Tucson/AZ,AZ-00201,AZ-46060
az,Tucson (W)+Marana Cities PUMA,Tucson/AZ,AZ-00202,AZ-46060
az,Pima County (N Central)-Oro Valley Town PUMA,Tucson/AZ,AZ-00203,AZ-46060
az,Pima County (NE) PUMA,Tucson/AZ,AZ-00204,AZ-46060
az,Pima County (SE)-Tucson City (Far SE)+Sahuarita Town PUMA,Tucson/AZ,AZ-00205,AZ-46060
az,Tucson City (NE) PUMA,Tucson/AZ,AZ-00206,AZ-46060
az,Tucson City (NW) PUMA,Tucson/AZ,AZ-00207,AZ-46060
az,Tucson City (S) PUMA,Tucson/AZ,AZ-00208,AZ-46060
az,Tucson City (SE) PUMA,Tucson/AZ,AZ-00209,AZ-46060
az,,,AZ-00300,AZ-38060
az,,,AZ-00300,AZ-43320
az,Coconino County-Flagstaff City PUMA,Flagstaff/AZ,AZ-00400,AZ-22380
az,Yavapai County PUMA,Prescott/AZ,AZ-00500,AZ-39140
az,Mohave+La Paz Counties-Lake Havasu City PUMA,Lake Havasu City-Kingman/AZ,AZ-00600,AZ-29420
az,Yuma County-Yuma City PUMA,Yuma/AZ,AZ-00700,AZ-49740
az,Gila/Graham/Greenlee+Pinal (E) Counties PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00800,AZ-38060
az,Pinal County (N)-Apache Junction City PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00803,AZ-38060
az,Pinal County (Central)-Florence Town/Eloy (NE)+Coolidge Cities PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00805,AZ-38060
az,Pinal County (W)-Maricopa/Casa Grande+Eloy (SE) Cities PUMA,Phoenix-Mesa-Scottsdale/AZ,AZ-00807,AZ-38060
az,Cochise+Santa Cruz Counties-Sierra Vista City PUMA,Sierra Vista-Douglas/AZ,AZ-00900,AZ-43420
ca,,,CA-00100,CA-39820
ca,,,CA-00100,CA-39900
ca,Alameda County (N)-Berkeley+Albany Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-00101,CA-41860
ca,Alameda County (NW)-Oakland (NW)+Emeryville Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-00102,CA-41860
ca,Alameda County (NE)-Oakland (E)+Piedmont Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-00103,CA-41860
ca,Alameda County (N Central)-Oakland City (S Central) PUMA,San Francisco-Oakland-Hayward/CA,CA-00104,CA-41860
ca,Alameda County (W)-San Leandro/Alameda+Oakland (SW) Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-00105,CA-41860
ca,Alameda County (N Central)-Castro Valley/San Lorenzo+Ashland PUMA,San Francisco-Oakland-Hayward/CA,CA-00106,CA-41860
ca,Alameda County (Central)-Hayward City PUMA,San Francisco-Oakland-Hayward/CA,CA-00107,CA-41860
ca,Alameda County (SW)-Union City/Newark+Fremont (W) Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-00108,CA-41860
ca,Alameda County (S Central)-Fremont City (E) PUMA,San Francisco-Oakland-Hayward/CA,CA-00109,CA-41860
ca,Alameda County (E)-Livermore/Pleasanton+Dublin Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-00110,CA-41860
ca,,,CA-00200,CA-21700
ca,,,CA-00300,CA-39820
ca,,,CA-00300,CA-40900
ca,,,CA-00400,CA-40900
ca,,,CA-00500,CA-17020
ca,,,CA-00500,CA-39820
ca,,,CA-00500,CA-40900
ca,,,CA-00600,CA-17020
ca,,,CA-00600,CA-49700
ca,,,CA-00700,CA-17020
ca,,,CA-00700,CA-40900
ca,,,CA-00700,CA-49700
ca,Butte County (NW)-Chico City PUMA,Chico/CA,CA-00701,CA-17020
ca,Butte County (SE)-Oroville City+Paradise Town PUMA,Chico/CA,CA-00702,CA-17020
ca,,,CA-00800,CA-17020
ca,,,CA-00800,CA-40900
ca,,,CA-00800,CA-49700
ca,,,CA-00900,CA-40900
ca,,,CA-01000,CA-34900
ca,,,CA-01100,CA-39780
ca,,,CA-01101,CA-42220
ca,,,CA-01102,CA-42220
ca,,,CA-01103,CA-42220
ca,,,CA-01201,CA-41860
ca,,,CA-01202,CA-41860
ca,Contra Costa County (Far SW)-Richmond (SW)+San Pablo Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-01301,CA-41860
ca,Contra Costa County (Far NW)-Richmond (N)/Hercules+El Cerrito Cites PUMA,San Francisco-Oakland-Hayward/CA,CA-01302,CA-41860
ca,Contra Costa County (NW)-Concord (W)/Martinez+Pleasant Hill Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-01303,CA-41860
ca,Contra Costa County-Walnut Creek (W)/Lafayette/Orinda Cities+Moraga Town PUMA,San Francisco-Oakland-Hayward/CA,CA-01304,CA-41860
ca,Contra Costa County (S)-San Ramon City+Danville Town PUMA,San Francisco-Oakland-Hayward/CA,CA-01305,CA-41860
ca,Contra Costa County (Central)-Concord (S)/Walnut Creek (E)+Clayton Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-01306,CA-41860
ca,Contra Costa County (N Central)-Pittsburg+Concord (N+E) Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-01307,CA-41860
ca,Contra Costa County (NE)-Antioch City PUMA,San Francisco-Oakland-Hayward/CA,CA-01308,CA-41860
ca,Contra Costa County (E)-Brentwood+Oakley Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-01309,CA-41860
ca,,,CA-01401,CA-40900
ca,,,CA-01402,CA-40900
ca,,,CA-01403,CA-40900
ca,,,CA-01500,CA-24420
ca,,,CA-01501,CA-40900
ca,,,CA-01502,CA-40900
ca,,,CA-01503,CA-40900
ca,,,CA-01504,CA-40900
ca,,,CA-01505,CA-40900
ca,,,CA-01506,CA-40900
ca,,,CA-01506,CA-44700
ca,,,CA-01601,CA-40900
ca,,,CA-01601,CA-49700
ca,,,CA-01602,CA-40900
ca,El Dorado County-El Dorado Hills PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-01700,CA-40900
ca,,,CA-01800,CA-40900
ca,,,CA-01800,CA-32900
ca,,,CA-01800,CA-44700
ca,Fresno County (W)-Selma/Kerman+Coalinga Cities PUMA,Fresno/CA,CA-01901,CA-23420
ca,Fresno County (N Central)-Fresno City (N) PUMA,Fresno/CA,CA-01902,CA-23420
ca,Fresno County (Central)-Fresno City (E Central) PUMA,Fresno/CA,CA-01903,CA-23420
ca,Fresno County (Central)-Fresno City (SW) PUMA,Fresno/CA,CA-01904,CA-23420
ca,Fresno County (Central)-Fresno City (SE) PUMA,Fresno/CA,CA-01905,CA-23420
ca,Fresno County (Central)-Clovis City PUMA,Fresno/CA,CA-01906,CA-23420
ca,Fresno County (E)-Sanger/Reedley+Parlier Cities PUMA,Fresno/CA,CA-01907,CA-23420
ca,,,CA-02001,CA-44700
ca,,,CA-02001,CA-33700
ca,,,CA-02002,CA-44700
ca,,,CA-02101,CA-41860
ca,,,CA-02102,CA-41860
ca,,,CA-02103,CA-41860
ca,,,CA-02104,CA-41860
ca,,,CA-02105,CA-41860
ca,,,CA-02106,CA-41860
ca,,,CA-02107,CA-41860
ca,,,CA-02108,CA-41860
ca,,,CA-02201,CA-41860
ca,,,CA-02202,CA-41860
ca,,,CA-02203,CA-41860
ca,,,CA-02204,CA-41860
ca,,,CA-02205,CA-41860
ca,,,CA-02206,CA-41860
ca,,,CA-02207,CA-41860
ca,,,CA-02300,CA-21700
ca,,,CA-02301,CA-41860
ca,,,CA-02302,CA-41860
ca,,,CA-02303,CA-41860
ca,,,CA-02304,CA-41860
ca,,,CA-02305,CA-41860
ca,,,CA-02306,CA-41860
ca,,,CA-02306,CA-41940
ca,,,CA-02401,CA-41860
ca,,,CA-02402,CA-41860
ca,,,CA-02403,CA-41860
ca,,,CA-02404,CA-41860
ca,,,CA-02405,CA-41860
ca,,,CA-02406,CA-41860
ca,,,CA-02407,CA-41860
ca,,,CA-02408,CA-41860
ca,,,CA-02409,CA-41860
ca,,,CA-02409,CA-41940
ca,,,CA-02410,CA-41860
ca,Imperial County-El Centro City PUMA,El Centro/CA,CA-02500,CA-20940
ca,,,CA-02601,CA-33700
ca,,,CA-02602,CA-41940
ca,,,CA-02602,CA-33700
ca,,,CA-02701,CA-41940
ca,,,CA-02702,CA-41940
ca,,,CA-02703,CA-41940
ca,,,CA-02704,CA-41940
ca,,,CA-02705,CA-41940
ca,,,CA-02706,CA-41500
ca,,,CA-02706,CA-41940
ca,,,CA-02707,CA-41940
ca,,,CA-02707,CA-42100
ca,,,CA-02708,CA-41940
ca,,,CA-02709,CA-41940
ca,,,CA-02710,CA-41940
ca,,,CA-02711,CA-41940
ca,,,CA-02712,CA-41940
ca,,,CA-02713,CA-41940
ca,,,CA-02714,CA-41940
ca,,,CA-02801,CA-42100
ca,,,CA-02802,CA-41940
ca,,,CA-02802,CA-42100
ca,,,CA-02900,CA-41500
ca,Kern County (W)-Delano/Wasco+Shafter Cities PUMA,Bakersfield/CA,CA-02901,CA-12540
ca,Kern County (Central)-Bakersfield City (W) PUMA,Bakersfield/CA,CA-02902,CA-12540
ca,Kern County (Central)-Bakersfield City (NE) PUMA,Bakersfield/CA,CA-02903,CA-12540
ca,Kern County (Central)-Bakersfield City (SE) PUMA,Bakersfield/CA,CA-02904,CA-12540
ca,Kern County (E)-Ridgecrest/Arvin/Tehachapi+California City Cities PUMA,Bakersfield/CA,CA-02905,CA-12540
ca,,,CA-03001,CA-41500
ca,,,CA-03002,CA-41500
ca,,,CA-03002,CA-41940
ca,Kings County-Hanford City PUMA,Hanford-Corcoran/CA,CA-03100,CA-25260
ca,,,CA-03200,CA-31460
ca,,,CA-03200,CA-32900
ca,,,CA-03300,CA-46380
ca,,,CA-03301,CA-23420
ca,,,CA-03302,CA-23420
ca,,,CA-03401,CA-23420
ca,,,CA-03401,CA-32900
ca,,,CA-03402,CA-23420
ca,,,CA-03402,CA-47300
ca,,,CA-03501,CA-47300
ca,,,CA-03502,CA-47300
ca,,,CA-03503,CA-23420
ca,,,CA-03503,CA-47300
ca,,,CA-03600,CA-25260
ca,,,CA-03600,CA-47300
ca,Los Angeles County (North/Unincorporated)-Castaic PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03701,CA-31080
ca,Los Angeles County (NW)-Santa Clarita City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03702,CA-31080
ca,Los Angeles County (N Central)-Lancaster City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03703,CA-31080
ca,Los Angeles County (N Central)-Palmdale City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03704,CA-31080
ca,Los Angeles County (N)-LA City (NW/Chatsworth+Porter Ranch) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03705,CA-31080
ca,Los Angeles County (N)-LA City (N Central/Granada Hills+Sylmar) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03706,CA-31080
ca,Los Angeles County-LA (N Central/Arleta+Pacoima)+San Fernando Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03707,CA-31080
ca,Los Angeles County (N)-LA City (NE/Sunland/Sun Valley+Tujunga) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03708,CA-31080
ca,Los Angeles County (Central)-San Gabriel Valley Region (N) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03709,CA-31080
ca,Los Angeles County-Baldwin Park/Azusa/Duarte+Irwindale Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03710,CA-31080
ca,Los Angeles County (E Central)-Glendora/Claremont/San Dimas+La Verne Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03711,CA-31080
ca,Los Angeles County (E Central)-Pomona City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03712,CA-31080
ca,Los Angeles County (E Central)-Covina+Walnut Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03713,CA-31080
ca,Los Angeles County-Diamond Bar/La Habra Heights (E) Cities+Rowland Heights PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03714,CA-31080
ca,Los Angeles County (E Central)-W Covina City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03715,CA-31080
ca,Los Angeles County (E Central)-La Puente+Industry Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03716,CA-31080
ca,Los Angeles County (E Central)-Arcadia/San Gabriel+Temple City Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03717,CA-31080
ca,Los Angeles County (Central)-Pasadena City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03718,CA-31080
ca,Los Angeles County (Central)-Glendale City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03719,CA-31080
ca,Los Angeles County (Central)-Burbank City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03720,CA-31080
ca,Los Angeles County (N)-LA City (NE/N Hollywood+Valley Village) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03721,CA-31080
ca,Los Angeles County (NW)-LA City (N Central/Van Nuys+N Sherman Oaks) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03722,CA-31080
ca,Los Angeles County (N)-LA City (N Central/Mission Hills+Panorama City) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03723,CA-31080
ca,Los Angeles County (NW)-LA City (NW/Encino+Tarzana) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03724,CA-31080
ca,Los Angeles County-LA City (NW/Canoga Park/Winnetka+Woodland Hills) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03725,CA-31080
ca,Los Angeles County-Calabasas/Agoura Hills/Malibu+Westlake Village Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03726,CA-31080
ca,Los Angeles County (Central)-LA City (Central/Pacific Palisades) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03727,CA-31080
ca,Los Angeles County (SW)-Santa Monica City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03728,CA-31080
ca,Los Angeles County (W Central)-LA City (W Central/Westwood+W Los Angeles) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03729,CA-31080
ca,Los Angeles County (W Central)-LA City (Central/Hancock Park+Mid-Wilshire) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03730,CA-31080
ca,Los Angeles County (Central)-W Hollywood+Beverly Hills Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03731,CA-31080
ca,Los Angeles County (Central)-LA City (E Central/Hollywood) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03732,CA-31080
ca,Los Angeles County (Central)-LA City (Central/Koreatown) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03733,CA-31080
ca,Los Angeles County-LA City (E Central/Silver Lake/Echo Park+Westlake) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03734,CA-31080
ca,Los Angeles County-LA City (Mount Washington/Highland Park+Glassell Park) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03735,CA-31080
ca,Los Angeles County (Central)-Alhambra+S Pasadena Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03736,CA-31080
ca,Los Angeles County (Central)-Monterey Park+Rosemead Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03737,CA-31080
ca,Los Angeles County (Central)-El Monte+S El Monte Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03738,CA-31080
ca,Los Angeles County (SE)-Whittier City+Hacienda Heights PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03739,CA-31080
ca,Los Angeles County (Central)-Pico Rivera+Montebello Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03740,CA-31080
ca,Los Angeles County (Central)-Bell Gardens/Bell/Maywood/Cudahy+Commerce Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03741,CA-31080
ca,Los Angeles County (Central)-Huntington Park City/Florence-Graham+Walnut Park PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03742,CA-31080
ca,Los Angeles County (Central)-E Los Angeles PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03743,CA-31080
ca,Los Angeles County (Central)-LA City (E Central/Central City+Boyle Heights) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03744,CA-31080
ca,Los Angeles County (Central)-LA City (SE/E Vernon) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03745,CA-31080
ca,Los Angeles County-LA City (Central/Univ of Southern California+Exposition Park) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03746,CA-31080
ca,Los Angeles County (Central)-LA City (Central/W Adams+Baldwin Hills) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03747,CA-31080
ca,Los Angeles County-LA (SW/Marina del Rey+Westchester)+Culver City Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03748,CA-31080
